City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
464,prescott,34.54,-112.4685,4.2,69,0,0.0,US,1677897518
465,avallon,47.4833,3.9,-0.4,93,7,1.42,FR,1677897519
466,beian,63.6559,9.5683,-0.95,55,40,12.35,NO,1677897519
467,severo-kurilsk,50.6789,156.125,-5.61,66,100,9.96,RU,1677897520
468,siniscola,40.5719,9.6922,5.75,88,97,2.98,IT,1677897520
469,luquillo,18.3725,-65.7166,25.01,78,0,2.57,PR,1677897520
470,san andres,12.5847,-81.7006,27.01,78,75,5.14,CO,1677897521
471,zwedru,6.0667,-8.1281,22.54,95,42,1.05,LR,1677897521
472,mohpa,21.3167,78.8167,22.64,24,2,3.49,IN,1677897521
473,namatanai,-3.6667,152.4333,25.26,90,100,5.91,PG,1677897522
474,tura,25.5198,90.2201,26.49,27,0,1.42,IN,1677897522
475,moletai,55.2333,25.4167,0.75,84,100,7.53,LT,1677897522
476,myitkyina,25.3833,97.4,27.01,29,0,0.92,MM,1677897523
477,deep river,46.1001,-77.4995,-3.92,72,100,3.05,CA,1677897523
478,coihaique,-45.5752,-72.0662,7.97,71,75,1.54,CL,1677897281
479,jalu,29.0331,21.5482,17.19,36,0,5.17,LY,1677897523
480,ginda,30.6945,78.4932,15.93,27,49,0.52,IN,1677897524
481,hokitika,-42.7167,170.9667,17.59,61,9,6.13,NZ,1677897524
482,kudahuvadhoo,2.6708,72.8944,27.7,73,5,7.16,MV,1677897525
483,jacareacanga,-6.2222,-57.7528,23.29,93,93,1.11,BR,1677897525
484,sarai,53.7458,41.0213,-2.53,98,100,2.43,RU,1677897527
485,vogar,63.9832,-22.3874,4.31,93,75,3.6,IS,1677897527
486,sao gabriel,-30.3364,-54.32,20.66,96,99,3.96,BR,1677897527
487,bardsir,29.9227,56.5743,7.37,67,0,2.12,IR,1677897528
488,singapore,1.2897,103.8501,25.62,89,75,3.6,SG,1677897145
489,abu dhabi,24.4667,54.3667,23.3,77,0,1.03,AE,1677897528
490,peyima,8.7,-11.0333,21.26,90,8,0.74,SL,1677897528
491,drabiv,49.963,32.1529,-0.26,88,53,4.36,UA,1677897529
492,altay,47.8667,88.1167,-3.83,84,72,0.87,CN,1677897529
493,leszno,51.8403,16.5749,1.69,91,31,7.39,PL,1677897529
494,suntar,62.1444,117.6319,-3.59,89,100,3.8,RU,1677897530
495,luwingu,-10.2621,29.9271,17.09,97,100,1.33,ZM,1677897530
496,solnechnyy,50.7214,136.6319,-5.01,75,26,2.58,RU,1677897287
497,san cristobal,7.7669,-72.225,23.1,83,16,1.25,VE,1677897530
498,novikovo,51.1537,37.8879,-0.24,95,100,5.07,RU,1677897531
499,portland,45.5234,-122.6762,5.74,92,40,3.58,US,1677897531
500,khartoum,15.5518,32.5324,25.01,22,25,3.65,SD,1677897531
501,urumqi,43.801,87.6005,-6.47,86,76,1.0,CN,1677897532
502,launceston,-41.45,147.1667,21.8,49,100,3.6,AU,1677897519
503,yerbogachen,61.2767,108.0108,-7.59,93,100,1.66,RU,1677897533
504,zhumadian,32.9794,114.0294,18.99,28,0,1.75,CN,1677897533
505,garowe,8.4054,48.4845,17.95,93,89,4.74,SO,1677897533
